Year,Constituency Name,Constituency Type,Candidates,Party,Vote Count,Vote Percentage
2011,Hong Kah North,SMC,Sin Kek Tong,SPP,7556,0.2939
2006,Aljunied,GRC,Goh Meng Seng | James Gomez | Lim Swee Lian Sylvia | Mohd Rahizan Bin Yaacob | Tan Wui-Hua,WP,58593,0.4391
2006,Aljunied,GRC,Lim Hwee Hua | Cynthia Phua | Yeo Guat Kwang | George Yong-Boon Yeo | Zainul Abidin Rasheed,PAP,74843,0.5609
2006,Ang Mo Kio,GRC,Abdul Salim Bin Harun | Gopal Krishnan | Han Su May | Lee Wai Leng | Tan Kian Hwee Melvin | Yaw Shin Leong,WP,49479,0.3386
2006,Ang Mo Kio,GRC,Inderjit Singh | Lam Pin Min | Lee Bee Wah | Lee Hsien Loong | Sadasivan Balaji | Wee Siew Kim,PAP,96636,0.6614
2006,Bishan-Toa Payoh,GRC,Hri Kumar Sangaran | Ng Eng Hen | Josephine Teo | Wong Kan Seng | Zainudin Bin Nordin,PAP,na,na
2006,Bukit Panjang,SMC,Ling How Doong,SDP,6400,0.2281
2006,Bukit Panjang,SMC,Teo Ho Pin,PAP,21652,0.7719
2006,Chua Chu Kang,SMC,Steve Chia,SDA,9292,0.3963
2006,Chua Chu Kang,SMC,Gan Kim Yong,PAP,14156,0.6037
2006,East Coast,GRC,Abdul Rahim | Chia Ti Lik | Brandon Siow | Eric Tan | Perry Tong,WP,37873,0.3614
2006,East Coast,GRC,Abdullah Tarmugi | Lee Yi Shyan | Lim Siang Keat Raymond | S Jayakumar | Tan Soon Neo Jessica,PAP,66931,0.6386
2006,Holland-Bukit Timah,GRC,Christopher De Souza | Foo Yee Shoon | Liang Eng Hwa | Lim Swee Say | Vivian Balakrishnan,PAP,na,na
2006,Hong Kah,GRC,Ang Mong Seng | Khor Lean Suan Amy | Yeo Cheow Tong | Yeo Khirn Hai Alvin | Zaqy B Mohamad,PAP,na,na
2006,Hougang,SMC,Eric Low Siak Meng,PAP,8308,0.3726
2006,Hougang,SMC,Low Thia Khiang,WP,13989,0.6274
2006,Jalan Besar,GRC,Cheo Chai Chen | Fong Chin Leong | Muhamad Ali Aman | Teo Kway Huang Sebastian | Yeo Boon Keng Vincent,SDA,26151,0.3074
2006,Jalan Besar,GRC,Heng Chee How | Lee Boon Yang | Lily Neo | Phua Lay Peng Denise | Yaacob Ibrahim,PAP,58913,0.6926
2006,Joo Chiat,SMC,Chan Soo Sen,PAP,12226,0.6501
2006,Joo Chiat,SMC,Tan Bin Seng,WP,6580,0.3499
2006,Jurong,GRC,Fu Hai Yien Grace | Halimah Binte Yacob | Lim Boon Heng | Ong Chit Chung | Tharman Shanmugaratnam,PAP,na,na
2006,MacPherson,SMC,Sin Kek Tong,SDA,6067,0.3152
2006,MacPherson,SMC,Matthias Yao Chih,PAP,13184,0.6848
2006,Marine Parade,GRC,Fatimah Binte Abdul Lateef | Goh Chok Tong | Lim Biow Chuan | Muhammad Faishal bin Ibrahim Khan Surattee | Ong Seh Hong | Seah Kian Peng,PAP,na,na
2006,Nee Soon Central,SMC,Lian Chin Way,WP,7529,0.3463
2006,Nee Soon Central,SMC,Ong Ah Heng,PAP,14211,0.6537
2006,Nee Soon East,SMC,Ho Peng Kee,PAP,20949,0.6872
2006,Nee Soon East,SMC,Poh Lee Guan,WP,9535,0.3128
2006,Pasir Ris-Punggol,GRC,Ahmad Magad | Chong You Fook Charles | Low Penny | Michael Palmer | Teo Chee Hean | Teo Ser Luck,PAP,113322,0.687
2006,Pasir Ris-Punggol,GRC,Ishak Haroun | Lee Hock Huat | Lim Bak Chuan | Mohd Hamim Aliyas | Ong Beng Soon Elvin | Yen Kim Khooi,SDA,51618,0.313
2006,Potong Pasir,SMC,Chiam See Tong,SDA,8245,0.5582
2006,Potong Pasir,SMC,Sitoh Yih Pin,PAP,6527,0.4418
2006,Sembawang,GRC,Chee Siok Chin | Mohamed Isa Bin Abdul Aziz | Narayanasamy Gogelavany | Neo Ting Wei Christopher | Sng Choon Guan | Yong Chu Leong,SDP,39537,0.233
2006,Sembawang,GRC,Hawazi Daipi | Khaw Boon Wan | Ellen Lee Geck Hoon | Lim Wee Kiak | Mohd Maliki Osman | Shanmugam K,PAP,130170,0.767
2006,Tampines,GRC,Abdul Rahman Bin Mohamad | Lim Tung Hee | Ng Say Eng | Ong Hock Siong | Tan Lead Shake,SDA,36948,0.3149
2006,Tampines,GRC,Mah Bow Tan | Masagos Zulkifli B M M | Ng Phek Hoong Irene | Ong Kian Min | Sin Boon Ann,PAP,80376,0.6851
2006,Tanjong Pagar,GRC,Baey Yam Keng | Indranee Thurai Rajah | Koo Tsai Kee | Lee Kuan Yew | Lui Tuck Yew | Tan Chin Siong,PAP,na,na
2006,West Coast,GRC,Fong Jen Arthur | Foo Chee Keng Cedric | Ho Geok Choo Madeleine | Lim Hng Kiang | Iswaran S,PAP,na,na
2006,Yio Chu Kang,SMC,Seng Han Thong,PAP,15726,0.6828
2006,Yio Chu Kang,SMC,Yip Yew Weng,SDA,7307,0.3172
